,u,i,ts,label,idx
162,12979,11705,9507.0,0.0,3437
163,506,10837,9517.0,0.0,6920
164,12979,11705,9520.0,0.0,3433
165,12979,11705,9548.0,0.0,5073
166,12979,11705,9565.0,0.0,3434
167,800,11382,9582.0,0.0,6135
168,14251,11705,9596.0,0.0,5492
169,13129,2879,9627.0,0.0,3019
170,9501,4579,9629.0,0.0,4534
171,506,4728,9737.0,0.0,6920
172,506,15210,9788.0,0.0,6920
173,10466,5800,9795.0,0.0,6957
174,14251,11705,9828.0,0.0,857
175,506,10913,9858.0,0.0,6920
176,14917,14917,10029.0,0.0,1022
177,9075,9075,10043.0,0.0,1629
178,506,805,10101.0,0.0,6920
179,5143,5143,10119.0,0.0,1227
180,14251,11705,10206.0,0.0,7196
181,9075,9075,10224.0,0.0,1630
182,10181,9707,10254.0,0.0,179
183,12112,12112,10262.0,0.0,3635
184,12112,8292,10267.0,0.0,3635
185,176,13601,10302.0,0.0,3455
186,176,13601,10322.0,0.0,5118
187,2770,2962,10373.0,0.0,6242
188,28,28,10375.0,0.0,1459
189,5143,5143,10408.0,0.0,577
190,10181,12245,10508.0,0.0,179
191,11833,9935,10567.0,0.0,3270
192,12643,2668,10759.0,0.0,2210
193,11833,13573,10760.0,0.0,3270
194,506,9257,10809.0,0.0,6920
195,11833,9980,10860.0,0.0,3270
196,506,3732,11030.0,0.0,6920
197,28,28,11085.0,0.0,3845
198,506,6665,11141.0,0.0,6920
199,9075,9075,11264.0,0.0,4895
200,2974,6513,11391.0,0.0,1807
201,2974,6513,11423.0,0.0,1806
202,7,5321,11507.0,0.0,4923
203,7472,7472,11507.0,0.0,6550
204,13855,13855,11571.0,0.0,6708
205,2770,12715,11572.0,0.0,2167
206,13855,13855,11585.0,0.0,7000
207,11833,11489,11749.0,0.0,3270
208,506,7388,11798.0,0.0,6920
209,8903,8903,11852.0,0.0,2466
210,9501,11827,11859.0,0.0,7258
211,506,11822,11864.0,0.0,6920
212,506,10119,11865.0,0.0,6920
213,10181,14461,11947.0,0.0,179
214,15042,15042,11956.0,0.0,2339
215,9075,9075,11982.0,0.0,1758
216,14,7898,12071.0,0.0,5891
217,2770,8778,12159.0,0.0,2167
218,506,14418,12206.0,0.0,6920
219,5302,8140,12250.0,0.0,7012
220,506,11470,12276.0,0.0,6920
221,11833,10843,12318.0,0.0,3270
222,506,8933,12404.0,0.0,6920
223,14251,14975,12415.0,0.0,5492
224,506,14461,12462.0,0.0,6920
